territory  ,2017,2018,2019,2020,2021,2022,2023
Piemonte  ,"4,370,348","4,349,911","4,328,565","4,311,217","4,274,945","4,256,350","4,240,736"
Valle d'Aosta / Vallée d'Aoste  ,"126,677","126,213","125,653","125,034","124,089","123,360","122,955"
Liguria  ,"1,551,379","1,541,541","1,532,980","1,524,826","1,518,495","1,509,227","1,502,624"
Lombardia  ,"9,970,419","9,986,962","10,010,833","10,027,602","9,981,554","9,943,004","9,950,742"
Trentino Alto Adige / Südtirol  ,"1,063,734","1,068,738","1,074,034","1,078,069","1,077,078","1,073,574","1,075,317"
Provincia Autonoma Bolzano / Bozen  ,"523,454","526,772","530,313","532,644","534,912","532,616","533,267"
Provincia Autonoma Trento  ,"540,280","541,966","543,721","545,425","542,166","540,958","542,050"
Veneto  ,"4,883,373","4,880,936","4,884,590","4,879,133","4,869,830","4,847,745","4,838,253"
Friuli-Venezia Giulia  ,"1,212,809","1,211,155","1,210,414","1,206,216","1,201,510","1,194,647","1,192,191"
Emilia-Romagna  ,"4,439,768","4,445,920","4,459,453","4,464,119","4,438,937","4,425,366","4,426,929"
Toscana  ,"3,721,391","3,712,048","3,701,343","3,692,555","3,692,865","3,663,191","3,651,152"
Umbria  ,"880,992","876,477","873,744","870,165","865,452","858,812","854,137"
Marche  ,"1,532,460","1,526,331","1,520,321","1,512,672","1,498,236","1,487,150","1,480,839"
Lazio  ,"5,774,092","5,774,606","5,773,076","5,755,700","5,730,399","5,714,882","5,707,112"
Abruzzo  ,"1,313,930","1,306,059","1,300,645","1,293,941","1,281,012","1,275,950","1,269,860"
Molise  ,"308,400","306,564","303,790","300,516","294,294","292,150","289,840"
Campania  ,"5,776,654","5,762,889","5,740,291","5,712,143","5,624,260","5,624,420","5,592,175"
Puglia  ,"4,024,067","4,000,966","3,975,528","3,953,305","3,933,777","3,922,941","3,900,852"
Basilicata  ,"566,405","562,968","558,587","553,254","545,130","541,168","536,659"
Calabria  ,"1,935,097","1,924,257","1,912,021","1,894,110","1,860,601","1,855,454","1,841,300"
Sicilia  ,"4,977,900","4,942,188","4,908,548","4,875,290","4,833,705","4,833,329","4,802,016"
Sardegna  ,"1,636,839","1,631,040","1,622,257","1,611,621","1,590,044","1,587,413","1,575,028"
